# PhyPiDAQ Data recorder  210325-1403;;
#   logging interval 0.1;;
U_GPIO/V;U_C/V;t/s
3.291;3.252;24.2
3.29;3.254;24.3
3.292;3.256;24.4
3.282;3.258;24.5
-0.01188;2.987;24.6
-0.01238;2.735;24.7
-0.01225;2.504;24.8
-0.01213;2.294;24.9
-0.01238;2.102;25
-0.01263;1.927;25.1
-0.01313;1.767;25.2
-0.01263;1.621;25.3
-0.01288;1.488;25.4
-0.01263;1.365;25.5
-0.013;1.254;25.6
-0.01238;1.152;25.7
-0.0125;1.058;25.8
-0.01238;0.972;25.9
-0.0125;0.8933;26
-0.0125;0.8212;26.1
-0.0125;0.7553;26.2
-0.01275;0.6948;26.3
-0.01275;0.6388;26.4
-0.01288;0.5883;26.5
-0.01263;0.5409;26.6
-0.01238;0.4978;26.7
-0.01313;0.4583;26.8
-0.01313;0.4226;26.9
-0.01275;0.3886;27
-0.01275;0.3583;27.1
-0.01163;0.3301;27.2
-0.01288;0.3044;27.3
-0.01288;0.2809;27.4
-0.01288;0.2588;27.5
-0.01263;0.2391;27.6
-0.0125;0.2205;27.7
-0.01238;0.2035;27.8
-0.01263;0.188;27.9
-0.01225;0.1736;28
-0.01238;0.1605;28.1
-0.01213;0.148;28.2
-0.012;0.137;28.3
-0.01213;0.127;28.4
-0.01288;0.1173;28.5
-0.0125;0.1089;28.6
-0.01263;0.1001;28.7
-0.01213;0.09275;28.8
